obstime,tempr,ap,ws,wd,rh
19-02-2015 01:00,-4.09,967.87,5.94,89.7,NaN
19-02-2015 02:00,-3.91,967.75,5.2,80.02,NaN
19-02-2015 03:00,-3.86,967.7,5.76,86.85,NaN
19-02-2015 04:00,-3.79,967.64,5.98,79.4,NaN
19-02-2015 05:00,-3.63,967.52,6.64,73.22,NaN
19-02-2015 06:00,-3.34,967.51,6.54,83.2,NaN
19-02-2015 07:00,-3.17,967.5,6.14,82.72,NaN
19-02-2015 08:00,-2.66,967.6,5.24,84.77,NaN
19-02-2015 09:00,-2.44,967.55,5.12,87.75,NaN
19-02-2015 10:00,-2.6,967.62,4.89,92.95,NaN
19-02-2015 11:00,-2.57,967.86,3.77,86.87,NaN
19-02-2015 12:00,-2.8,967.9,3.27,80.75,NaN
19-02-2015 13:00,-2.89,967.91,3.07,61.92,NaN
19-02-2015 14:00,-3.2,967.97,3.38,68.53,NaN
19-02-2015 15:00,-3.69,967.87,2.62,87.22,NaN
19-02-2015 16:00,-3.64,967.72,2.18,105.87,NaN
19-02-2015 17:00,-3.77,967.61,1.74,132.62,NaN
19-02-2015 18:00,-3.71,967.61,1.12,164.13,NaN
19-02-2015 19:00,-3.79,967.41,1.27,189.88,NaN
19-02-2015 20:00,-3.95,967.27,1.95,205.37,NaN
19-02-2015 21:00,-4.4,967.23,1.66,197.05,NaN
19-02-2015 22:00,-4.77,967.25,0.68,167.2,NaN
19-02-2015 23:00,-4.96,967.42,1.23,91.92,NaN
20-02-2015 00:00,-5.16,967.76,1.74,99.92,NaN
20-02-2015 01:00,-4.94,968.11,3.16,94.1,NaN
20-02-2015 02:00,-4.51,968.64,3.87,101.07,NaN
20-02-2015 03:00,-3.92,969.05,4.38,96.17,NaN
20-02-2015 04:00,-3.45,969.51,5.25,88.6,NaN
20-02-2015 05:00,-3.16,970.13,5.2,92.65,NaN
20-02-2015 06:00,-2.97,970.75,5.37,90.63,NaN
20-02-2015 07:00,-2.88,971.46,5.35,87.45,NaN
20-02-2015 08:00,-3.27,972.32,4.91,75.37,NaN
20-02-2015 09:00,-3.33,973.22,5.78,62.85,NaN
20-02-2015 10:00,-3.69,974.05,6.55,66.95,NaN
20-02-2015 11:00,-3.6,974.97,7.11,58.87,NaN
20-02-2015 12:00,-3.52,976.03,7.18,45.53,NaN
20-02-2015 13:00,-3.55,977.04,6.51,44.75,NaN
20-02-2015 14:00,-3.63,977.95,6.26,35.13,NaN
20-02-2015 15:00,-3.82,978.6,6,32.72,NaN
20-02-2015 16:00,-3.93,979.15,5.35,48.33,NaN
20-02-2015 17:00,-3.97,979.5,4.64,44.6,NaN
20-02-2015 18:00,NaN,NaN,NaN,NaN,NaN
20-02-2015 19:00,NaN,NaN,NaN,NaN,NaN
20-02-2015 20:00,NaN,NaN,NaN,NaN,NaN
20-02-2015 21:00,NaN,NaN,NaN,NaN,NaN
20-02-2015 22:00,NaN,NaN,NaN,NaN,NaN
20-02-2015 23:00,NaN,NaN,NaN,NaN,NaN
21-02-2015 00:00,-4.69,982.58,4.35,79.67,NaN
21-02-2015 01:00,-4.23,983.05,4.7,83.65,NaN
21-02-2015 02:00,-4.75,983.43,4.3,88.67,NaN
21-02-2015 03:00,-5.26,983.69,4.07,81.27,NaN
21-02-2015 04:00,-4.51,983.86,2.73,82.43,NaN
21-02-2015 05:00,-4.02,984.24,2.06,99.68,NaN
21-02-2015 06:00,-3.58,984.38,2.44,92.75,NaN
21-02-2015 07:00,-3.07,984.57,4.39,115.47,NaN
21-02-2015 08:00,-3.2,984.53,5.08,108.22,NaN
21-02-2015 09:00,-2.7,984.47,4.31,97.78,NaN
21-02-2015 10:00,-2.48,984.32,4.28,91.97,NaN
21-02-2015 11:00,-2.46,984.24,2.9,84.68,NaN
21-02-2015 12:00,-2.81,984.02,1.7,168.2,NaN
21-02-2015 13:00,-3.64,983.48,2.19,80.98,NaN
21-02-2015 14:00,-4.47,983.2,2.58,175.02,NaN
21-02-2015 15:00,-5.23,982.91,1.55,187.07,NaN
21-02-2015 16:00,-5.83,982.41,1.2,281.85,NaN
21-02-2015 17:00,-5.96,981.82,1.42,236.78,NaN
21-02-2015 18:00,-5.83,981.16,1.37,144,NaN
21-02-2015 19:00,-5.12,979.78,4.19,74.27,NaN
21-02-2015 20:00,-5.25,978.95,5.09,82.05,NaN
21-02-2015 21:00,-5.1,977.71,5.81,86.85,NaN
21-02-2015 22:00,-4.78,976.66,5.97,87.08,NaN
21-02-2015 23:00,-4.49,975.59,5.47,77.62,NaN
22-02-2015 00:00,-4.23,974.4,6.93,67.35,NaN
22-02-2015 01:00,-3.6,973.21,7.63,72.47,NaN
22-02-2015 02:00,-3.09,972.33,7.91,73.35,NaN
22-02-2015 03:00,-2.79,971.23,8.12,74.75,NaN
22-02-2015 04:00,-2.32,970.1,6.99,69.72,NaN
22-02-2015 05:00,-1.69,969.02,6.42,73.48,NaN
22-02-2015 06:00,-2.97,968.22,6.71,61.42,NaN
22-02-2015 07:00,-3.94,967.74,5.45,61.15,NaN
22-02-2015 08:00,-3.83,967.35,3.61,76.65,NaN
22-02-2015 09:00,-3.63,966.83,3.58,74.43,NaN
22-02-2015 10:00,-3.4,966.39,5.7,45.1,NaN
22-02-2015 11:00,-3.24,966.58,6.07,38.6,NaN
22-02-2015 12:00,-3.19,966.5,3.16,88,NaN
22-02-2015 13:00,-3.17,966.51,1.77,104.38,NaN
22-02-2015 14:00,-3.33,966.63,1.21,153.35,NaN
22-02-2015 15:00,-3.69,966.77,1.97,81.6,NaN
22-02-2015 16:00,-3.81,967.04,4.54,56.12,NaN
22-02-2015 17:00,-3.98,967.6,3.15,51.48,NaN
22-02-2015 18:00,-3.9,968.3,2.95,62.88,NaN
22-02-2015 19:00,-3.94,969.05,3.72,79.88,NaN
22-02-2015 20:00,-3.63,969.78,5.1,90.83,NaN
22-02-2015 21:00,-3.6,970.51,4.8,83.47,NaN
22-02-2015 22:00,-3.72,971.37,4.08,78.07,NaN
22-02-2015 23:00,-3.71,972.5,4.22,72.57,NaN
23-02-2015 00:00,-4.52,973.64,4.67,66.6,NaN
23-02-2015 01:00,-4.57,974.74,4.17,73.23,NaN
23-02-2015 02:00,-4,975.67,3.81,77.2,NaN
23-02-2015 03:00,-3.79,976.7,3.93,64.98,NaN
23-02-2015 04:00,-3.46,977.86,4.55,65.13,NaN
23-02-2015 05:00,-3,979.09,5.17,68.63,NaN
23-02-2015 06:00,-2.79,979.99,5.4,81.33,NaN
23-02-2015 07:00,-2.44,980.75,4.9,79.47,NaN
23-02-2015 08:00,-2.3,981.23,5.56,82.75,NaN
23-02-2015 09:00,-2.35,982.05,5.11,71.08,NaN
23-02-2015 10:00,-2.49,982.79,5.21,58.55,NaN
23-02-2015 11:00,-2.73,983.65,5.29,52.83,NaN
